City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Grindavik,IS,63.8424,-22.4338,30.67,86,20,6.91,few clouds
294,Esperance,AU,-33.8667,121.9,61.45,83,58,6.04,broken clouds
295,Roald,NO,62.5833,6.1333,36.34,93,75,1.14,broken clouds
296,Hit,IQ,33.6416,42.8251,58.19,48,100,4.09,overcast clouds
297,Provideniya,RU,64.3833,-173.3,6.91,78,90,33.55,snow
298,Nanortalik,GL,60.1432,-45.2371,36.95,77,100,11.21,overcast clouds
299,Ayan,RU,56.45,138.1667,-17.7,70,73,13.06,broken clouds
300,Sinnamary,GF,5.3833,-52.95,76.53,92,100,7.94,overcast clouds
301,Lisakovsk,KZ,52.5369,62.4936,5.77,92,93,6.35,overcast clouds
302,Kerema,PG,-7.9631,145.7785,80.53,82,98,2.37,overcast clouds
303,Palmer,US,42.1584,-72.3287,38.21,57,75,3.0,broken clouds
304,Picota,PE,-6.9197,-76.3304,84.69,60,72,4.21,broken clouds
305,Veseloyarsk,RU,51.2836,81.1056,25.21,77,68,15.59,broken clouds
306,Mackay,AU,-21.15,149.2,84.69,63,0,2.51,clear sky
307,Malinovskiy,RU,61.1953,62.8397,-4.0,95,100,5.57,overcast clouds
308,Noumea,NC,-22.2763,166.4572,84.18,99,2,9.66,clear sky
309,Ahipara,NZ,-35.1667,173.1667,69.12,71,100,12.12,overcast clouds
310,Ternate,ID,0.8,127.4,79.48,87,100,10.63,light rain
311,Acapulco,MX,16.8634,-99.8901,83.17,68,9,7.09,clear sky
312,Kushiro,JP,42.975,144.3747,23.95,86,40,3.44,scattered clouds
313,Faya,SA,18.3851,42.4509,54.12,87,16,3.56,few clouds
314,Qingquan,CN,30.4511,115.2559,47.32,60,0,2.46,clear sky
315,Gorele,TR,41.0308,39.0031,33.24,81,100,4.41,overcast clouds
316,Maarianhamina,AX,60.0973,19.9348,28.26,69,0,10.36,clear sky
